step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
107,steady,118.691916,119.787391,1095.475,1.748,1093.671,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
108,steady,119.798832,120.893478,1094.646,1.755,1092.824,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
109,steady,120.905262,122.000818,1095.555,1.756,1093.740,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
110,steady,122.012152,123.108870,1096.718,1.761,1094.900,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
111,steady,123.120602,124.216650,1096.048,1.763,1094.220,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
112,steady,124.228538,125.324270,1095.732,1.758,1093.914,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
113,steady,125.327747,125.631540,303.793,0.155,303.595,53,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
114,steady,125.888013,126.979678,1091.665,1.805,1089.771,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
115,steady,126.992004,128.089032,1097.028,1.772,1095.189,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
116,steady,128.100955,129.195643,1094.688,1.760,1092.870,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
117,steady,129.207328,130.303596,1096.268,1.762,1094.448,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
118,steady,130.315183,131.410636,1095.454,1.769,1093.627,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
119,steady,131.422268,132.519161,1096.893,1.760,1095.074,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
120,steady,132.530765,133.628843,1098.078,1.752,1096.268,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
121,steady,133.640865,134.738896,1098.030,1.756,1096.214,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
122,steady,134.750840,135.848774,1097.934,1.754,1096.113,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
123,steady,135.860448,136.959132,1098.684,1.761,1096.864,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
124,steady,136.970790,138.069126,1098.336,1.775,1096.504,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
125,steady,138.080988,139.180345,1099.357,1.757,1097.541,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
126,steady,139.192634,140.290829,1098.195,1.756,1096.381,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
127,steady,140.302341,141.401712,1099.370,1.754,1097.559,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
128,steady,141.413449,142.512253,1098.804,1.749,1096.997,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
129,steady,142.523995,143.623693,1099.699,1.762,1097.876,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
130,steady,143.635656,144.735578,1099.921,1.752,1098.110,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
131,steady,144.747368,145.848393,1101.024,1.763,1099.203,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
132,steady,145.859827,146.961322,1101.494,1.760,1099.676,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
133,steady,146.973095,148.074652,1101.557,1.761,1099.737,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
